,Content,Category
24,",""Hi, the final recovery for Chota Credit is now complete. No dues left. Your Remaining balance is Rs 26.39 as on 07/06/18 02:34 PM. Power to you!",OTP
25,",""Recharge done;MRP: Rs.458, Talktime: Rs.0.00, Access Fee:  Rs 388.14,GST 18%Dial *121# to know your best offers",OTP
26,",Congratulations!Your Unlimited Pack is active.Special Offer Rs46=1GB for 28 days or Rs101=2GB for 28 days.Offer valid till Unlimited Pack validity.",OTP
27,",""Now enjoy Unlimited All Local, STD and Roaming Calls + 1.4 GB Data/day +100 SMS per day for 84 days. Best value Unlimited offers only with Vodafone",OTP
28,",""Hi, due to your low balance,YMOBI pack could not be activated. We will especially hold your request & start the service if you recharge within 7 days.Discover cool games, apps, movies, music & more http://discover.vodafone.in/nf/ ",OTP
29,",""Hi, we are still holding your request for activation of YMOBI Pack, made on 28-06-2018 which could not be processed due to low balance. Do recharge within 4 days to enjoy the service.Discover cool games, apps, movies, music & more http://discover.vodafone.in/nf/ ",OTP
30,",""Hi, due to your low balance, your request for activation of YMOBI Pack could not be processed. For more exciting services call 123 (toll free) or visit us on live.vodafone.in (data charges applicable) .Discover cool games, apps, movies, music & more http://discover.vodafone.in/nf/ ",Update
31,",Success! A Chota Credit of Rs10 is added to your balance. Rs10 plus a service charge of Rs 3 will be deducted from your next recharge. Please recharge soon.",Update
32,",""Recharge done;MRP: Rs., Talktime: Rs.0.00, Access Fee:  Rs ,GST 18%Vodafone Sakhi- Safety service Vodafone Women ke liye! Jyada jankari ke liye.Dial kare 1800-123-100 tollfree",Update
33,",""Hi, charges of Rs. 13.0 has been deducted from ur balance. Thank you for availing the Credit/Data Loan service.  No dues left for u",Update
34,",""Alert! Your Outgoing calls, SMS & data services have been discontinued. Recharge NOW to start using your mobile services. For offers, dial *121#",Update
35,",Alert! Incoming Calls for 9646345471 will be STOPPED from 29/11/18. Recharge now with minimum Rs35 to start using Outgoing service again. Dial *121# for more.",Update
36,",#Alert! Incoming Calls for 9646345471 will be STOPPED tonight. Recharge immediately with minimum Rs35 to start using outgoing service again. Dial *121# for more",Update
37,",""Recharge done;Congrats! Rs.35 Recharge Successful & your service is valid till """"2018-12-26 """"Vodafone Sakhi- Safety service Vodafone Women ke liye! Jyada jankari ke liye.Dial kare 1800-123-100 tollfree",Update
38,",""Congratulations! Mobile services have been restored for your number. To know your service validity details, dial *111# or check your MyVodafoneApp",Update
39,",Attention! Outgoing Service for 9646345471 will be STOPPED from 26/12/18 . Recharge with minimum Rs35 to continue using mobile services. Dial *121# for more.",Update
40,",Apke VF no 9646345471 ki outgoing service 26-Dec ko samapt ho jaegi. Seva jaari rakhne ke liye aj hi kisi bhi Unlimited ya All-rounder pack se recharge karen.",Update
41,",Only 2 Days Left! Outgoing Service for 9646345471 will be STOPPED from 26/12/18. Recharge with minimum Rs35 to avoid suspension of services. Dial *121# for more",Update
42,",Only 1 Day Left! Outgoing & Data Services for 9646345471 will STOP on 26/12/18. To continue recharge with any Unlimited or All Rounder Pack. For more dial *121#",Update
43,",Attention! Outgoing & Data Services for 9646345471 will STOP today 23:59hrs. To continue recharge with any Unlimited or All Rounder Pack. More offers on *121#",Update
44,",Apke no 9646345471 ki outgoing seva samapt ho chuki hai. Incoming seva jari rakhne k liye 10-Jan se pehle Unlimited ya all-rounder pack se recharge karen.",Update
45,",""Alert! Outgoing Calls, SMS & Data services for 9646345471 have STOPPED. To restart your services dial *121# & recharge with any Unlimited or All Rounder Pack.",Update
46,",Apke no 9646345471 ki outgoing seva samapt ho chuki hai. Incoming seva jari rakhne k liye 10-Jan se pehle Unlimited ya all-rounder pack se recharge karen.",Update
47,",Apke no 9646345471 ki outgoing seva samapt ho chuki hai. Incoming seva jari rakhne k liye 10-Jan se pehle Unlimited ya all-rounder pack se recharge karen.",Update
48,",Apke no 9646345471 ki outgoing seva samapt ho chuki hai. Incoming seva jari rakhne k liye 10-Jan se pehle Unlimited ya all-rounder pack se recharge karen.",Update
49,",Apke no 9646345471 ki outgoing seva samapt ho chuki hai. Incoming seva jari rakhne k liye 10-Jan se pehle Unlimited ya all-rounder pack se recharge karen.",Update
50,",""Recharge done;Congrats! Rs.35 Recharge Successful & your service is valid till """"2019-02-03 """"Vodafone Sakhi- Safety service Vodafone Women ke liye! Jyada jankari ke liye.Dial kare 1800-123-100 tollfree",Update
51,",""Recharge done;MRP: Rs.5, Talktime: Rs.3.75, Access Fee:  Rs 0.5,GST 18%Vodafone Sakhi- Safety service Vodafone Women ke liye! Jyada jankari ke liye.Dial kare 1800-123-100 tollfree",Update
52,",""Congratulations! Mobile services have been restored for your number. To know your service validity details, dial *111# or check your MyVodafoneApp",Update
53,",Apke VF no 9646345471 ki outgoing service 03-Feb ko samapt ho jaegi. Seva jaari rakhne ke liye aj hi kisi bhi Unlimited ya All-rounder pack se recharge karen.",Update
54,",""Apke VF no 9646345471 ki outgoing service 03,Feb ko samapt ho jaegi. Seva jaari rakhne ke liye aj hi kisi bhi Unlimited ya All,rounder pack se recharge karen.",Update
55,",Apke VF no 9646345471 ki outgoing service 03-Feb ko samapt ho jaegi. Seva jaari rakhne ke liye aj hi kisi bhi Unlimited ya All-rounder pack se recharge karen.",Update
56,",Apke no 9646345471 ki outgoing seva samapt ho chuki hai. Incoming seva jari rakhne k liye 18-Feb se pehle Unlimited ya all-rounder pack se recharge karen.",Update
57,",Apke no 9646345471 ki outgoing seva samapt ho chuki hai. Incoming seva jari rakhne k liye 18-Feb se pehle Unlimited ya all-rounder pack se recharge karen.",Update
58,",Apke no 9646345471 ki outgoing seva samapt ho chuki hai. Incoming seva jari rakhne k liye 18-Feb se pehle Unlimited ya all-rounder pack se recharge karen.",Update
59,",Apke no 9646345471 ki outgoing seva samapt ho chuki hai. Incoming seva jari rakhne k liye 18-Feb se pehle Unlimited ya all-rounder pack se recharge karen.",Update
60,",Hi! With Vodafone send best wishes to your friends & Loved Ones this Valentines as per your existing SMS or base pack! No extra charging on special days!",Update
61,",Apke no 9646345471 ki outgoing seva samapt ho chuki hai. Incoming seva jari rakhne k liye 18-Feb se pehle Unlimited ya all-rounder pack se recharge karen.",Update
62,",Apke no 9646345471 ki outgoing seva samapt ho chuki hai. Incoming seva jari rakhne k liye 18-Feb se pehle Unlimited ya all-rounder pack se recharge karen.",Update
63,",Apke no 9646345471 ki outgoing seva samapt ho chuki hai. Incoming seva jari rakhne k liye 18-Feb se pehle Unlimited ya all-rounder pack se recharge karen.",Update
64,",Apke no 9646345471 ki outgoing seva samapt ho chuki hai. Incoming seva jari rakhne k liye 18-Feb se pehle Unlimited ya all-rounder pack se recharge karen.",Update
65,",Apke no 9646345471 ki outgoing seva samapt ho chuki hai. Incoming seva jari rakhne k liye 18-Feb se pehle Unlimited ya all-rounder pack se recharge karen.",Update
66,",Apke no 9646345471 ki outgoing seva samapt ho chuki hai. Incoming seva jari rakhne k liye 18-Feb se pehle Unlimited ya all-rounder pack se recharge karen.",Update
67,",""While receiving International Call if an Indian Number is displayed on your phone, please inform on toll free number 1800110420 or 1963.",Update
68,",""#Alert! You may lose your current Bal of Rs0.001 and mobile no. 9646345471. Recharge now with Rs35, 50 etc. to start using services again. More offers on *121#",Update
69,",""#Alert! You may lose your current Bal of Rs0.001 and mobile no. 9646345471. Recharge now with Rs35, 50 etc. to start using services again. More offers on *121#",Update
70,",""Recharge done;Congrats! Rs.65 Recharge Successful & your service is valid till """"2019-05-10 """". Watch 'Uri' FREE! https://bit.ly/2SO6iXJ .",Update
71,",""Congratulations! Mobile services have been restored for your number. To know your service validity details, dial *111# or check your MyVodafoneApp",Update
72,",""Congratulations! Mobile services have been restored for your number. To know your service validity details, dial *111# or check your MyVodafoneApp",Update
73,",""Watch latest movies - URI and SIMBA at no extra cost on Vodafone Play App. Click bit.ly/2UN2aEB Recharge with Rs 49 and get 1GB Data, 28 Days. Enjoy watching.",Update
74,",""#Alert! You may lose your current Bal of Rs0.001 and mobile no. 9646345471. Recharge now with Rs35, 50 etc. to start using services again. More offers on *121#",Update
75,",""Dear Customer as per TRAI regulation, if you are not a registered Telemarketer, sending commercial/promotional SMS may lead to withdrawal of services",Update
76,",#Alert! Outgoing & Data Service Validity for $MSISDN$ expires on 09/05/19. To continue recharge with any Unlimited or All Rounder Pack. For more dial *121#",Update
77,",""Your 9646345471 Expiry is due on 09/05/19. Why wait till expiry, Recharge with All-Rounder Pack & get remaining validity + new Pack validity.Dial *121# for more",Update
78,",Apke VF no 9646345471 ki outgoing service 10-May ko samapt ho jaegi. Seva jaari rakhne ke liye aj hi kisi bhi Unlimited ya All-rounder pack se recharge karen.",Update
79,",3 days Left! Outgoing & Data Service Validity of 9646345471 expires on 10/05/2019. To continue recharge with any Unlimited or All Rounder Pack.For more dial *121#",Update
80,",Apke VF no 9646345471 ki outgoing service 10-May ko samapt ho jaegi. Seva jaari rakhne ke liye aj hi kisi bhi Unlimited ya All-rounder pack se recharge karen.",Update
81,",""Your 9646345471 Expiry is due on 10/05/2019. Why wait till expiry, Recharge with All-Rounder Pack & get remaining validity + new Pack validity.Dial *121# for more.",Update
82,",Apke VF no 9646345471 ki outgoing service 10-May ko samapt ho jaegi. Seva jaari rakhne ke liye aj hi kisi bhi Unlimited ya All-rounder pack se recharge karen.",Update
83,",""Recharge done;Congrats! Rs.65 Recharge Successful & your service is valid till """"2019-06-07 """". UNL calls+1GB in just 119, 28D .",Update
84,",""Watch latest movies - URI and SIMBA at no extra cost on Vodafone Play App. Click bit.ly/2UN2aEB Recharge with Rs 49 and get 1GB Data, 28 Days. Enjoy watching.",Update
85,",Apke VF no 9646345471 ki outgoing service 10-May ko samapt ho jaegi. Seva jaari rakhne ke liye aj hi kisi bhi Unlimited ya All-rounder pack se recharge karen.",Update
86,",#Attention! Outgoing & Data Services for 9646345471 will STOP Today. To continue recharge with any Unlimited or All Rounder Pack. More offers on *121#",Update
87,",Vodafone Supernet Network is now bigger and bolder in your town with over 90% 4G coverage across Punjab. Experience High Speed 4G internet wherever you are.",Update
88,",Vodafone Supernet Network is now bigger and bolder in your town with over 90% 4G coverage across Punjab. Experience High Speed 4G internet wherever you are.",Update
89,",Apke VF no 9646345471 ki outgoing service 07-Jun ko samapt ho jaegi. Seva jaari rakhne ke liye aj hi kisi bhi Unlimited ya All-rounder pack se recharge karen.",Update
90,",Apke VF no 9646345471 ki outgoing service 07-Jun ko samapt ho jaegi. Seva jaari rakhne ke liye aj hi kisi bhi Unlimited ya All-rounder pack se recharge karen.",Update
91,",""Dear customer, While receiving International Call, if local or STD or no number displayed on your phone, Pl. inform on Toll Free no. 1800-110-420 or 1963 (for Grey Market complaints only, not for other complaints)",Update
92,",Apke VF no 9646345471 ki outgoing service 07-Jun ko samapt ho jaegi. Seva jaari rakhne ke liye aj hi kisi bhi Unlimited ya All-rounder pack se recharge karen.",Update
93,",""Recharge done;MRP: Rs., Talktime: Rs.0.00, Access Fee:  Rs ,GST 18%. Watch 'Uri' FREE! https://bit.ly/2SO6iXJ .",Update
94,",Apke VF no 9646345471 ki outgoing service 07-Jun ko samapt ho jaegi. Seva jaari rakhne ke liye aj hi kisi bhi Unlimited ya All-rounder pack se recharge karen.",Update
95,",Apke VF no 9646345471 ki outgoing service 10-Jun ko samapt ho jaegi. Seva jaari rakhne ke liye aj hi kisi bhi Unlimited ya All-rounder pack se recharge karen.",Update
96,",""Recharge done;MRP: Rs., Talktime: Rs.0.00, Access Fee:  Rs ,GST 18%. Watch 'Uri' FREE! https://bit.ly/2SO6iXJ .",Update
97,",Hi.Your account has been adjusted by Rs24 to extend OG validity by 28 days.Recharge with Rs199 to get Unlimited Calls+1.5GB/Day for 28 days.Best offers on *121#",Update
98,",Apke no 9646345471 ki outgoing seva samapt ho chuki hai. Incoming seva jari rakhne k liye 25-Jun se pehle Unlimited ya all-rounder pack se recharge karen.",Update
99,",#Alert! Outgoing & Data Service Validity for $MSISDN$ expires on 07/07/19. To continue recharge with any Unlimited or All Rounder Pack. For more dial *121#",Update
100,",""Your 9646345471 Expiry is due on 07/07/19. Why wait till expiry, Recharge with All-Rounder Pack & get remaining validity + new Pack validity.Dial *121# for more",Update
101,",3 days Left! Outgoing & Data Service Validity of 9646345471 expires on 08/07/2019. To continue recharge with any Unlimited or All Rounder Pack.For more dial *121#",Update
102,",""Your 9646345471 Expiry is due on 08/07/2019. Why wait till expiry, Recharge with All-Rounder Pack & get remaining validity + new Pack validity.Dial *121# for more.",Update
103,",""Recharge done;MRP: Rs., Talktime: Rs.0.00, Access Fee:  Rs ,GST 18%. Watch 'Uri' FREE! https://bit.ly/2SO6iXJ .",Update
104,",#Attention! Outgoing & Data Services for 9646345471 will STOP Today. To continue recharge with any Unlimited or All Rounder Pack. More offers on *121#",Update
105,",Apke VF no 9646345471 ki outgoing service 08-Jul ko samapt ho jaegi. Seva jaari rakhne ke liye aj hi kisi bhi Unlimited ya All-rounder pack se recharge karen.",Update
106,",Apke VF no 9646345471 ki outgoing service 11-Jul ko samapt ho jaegi. Seva jaari rakhne ke liye aj hi kisi bhi Unlimited ya All-rounder pack se recharge karen.",Update
107,",""Your 9646345471 Expiry is due on 11/07/2019. Why wait till expiry, Recharge with All-Rounder Pack & get remaining validity + new Pack validity.Dial *121# for more.",Update
108,",#Attention! Outgoing & Data Services for 9646345471 will STOP Today. To continue recharge with any Unlimited or All Rounder Pack. More offers on *121#",Update
109,",Apke VF no 9646345471 ki outgoing service 11-Jul ko samapt ho jaegi. Seva jaari rakhne ke liye aj hi kisi bhi Unlimited ya All-rounder pack se recharge karen.",Update
110,",""Recharge done;MRP: Rs., Talktime: Rs.0.00, Access Fee:  Rs ,GST 18%. Watch 'Uri' FREE! https://bit.ly/2SO6iXJ .",Update
111,",Hi.Your account has been adjusted by Rs24 to extend OG validity by 28 days.Recharge with Rs199 to get Unlimited Calls+1.5GB/Day for 28 days.Best offers on *121#",Update
112,",""#Alert! Outgoing Calls, SMS & Data services for 9646345471 have STOPPED. To restart your services dial *121# & recharge with any Unlimited or All Rounder Pack.",Update
113,",Apke no 9646345471 ki outgoing seva samapt ho chuki hai. Incoming seva jari rakhne k liye 26-Jul se pehle Unlimited ya all-rounder pack se recharge karen.",Update
114,",""Dear Customer, you can now call on 1925 or SMS <START> or <STOP> to 1925, if you wish to Activate or Deactivate your data services.",Update
115,",Zarrori Suchna!! Ab kabhi bhi  Vodafone ka Sim Kho Jane ya kharab ho jane par Aap asani se Apne Nazdiki Idea Retailer se SIM replace karwa sakte hain.  Dhanyavad!",Update
116,",#Alert! Outgoing & Data Service Validity for $MSISDN$ expires on 07/08/19. To continue recharge with any Unlimited or All Rounder Pack. For more dial *121#",Update
117,",""Your 9646345471 Expiry is due on 07/08/19. Why wait till expiry, Recharge with All-Rounder Pack & get remaining validity + new Pack validity.Dial *121# for more",Update
118,",3 days Left! Outgoing & Data Service Validity of 9646345471 expires on 08/08/2019. To continue recharge with any Unlimited or All Rounder Pack.For more dial *121#",Update
119,",Apke VF no 9646345471 ki outgoing service 08-Aug ko samapt ho jaegi. Seva jaari rakhne ke liye aj hi kisi bhi Unlimited ya All-rounder pack se recharge karen.",Update
120,",""Your 9646345471 Expiry is due on 08/08/2019. Why wait till expiry, Recharge with All-Rounder Pack & get remaining validity + new Pack validity.Dial *121# for more.",Update
121,",""Apke VF no 9646345471 ki outgoing service 08,Aug ko samapt ho jaegi. Seva jaari rakhne ke liye aj hi kisi bhi Unlimited ya All,rounder pack se recharge karen.",Update
122,",#Attention! Outgoing & Data Services for 9646345471 will STOP Today. To continue recharge with any Unlimited or All Rounder Pack. More offers on *121#",Update
123,",""Apke VF no 9646345471 ki outgoing service 08,Aug ko samapt ho jaegi. Seva jaari rakhne ke liye aj hi kisi bhi Unlimited ya All,rounder pack se recharge karen.",Update
124,",""#Alert! Outgoing Calls, SMS & Data services for 9646345471 have STOPPED. To restart your services dial *121# & recharge with any Unlimited or All Rounder Pack.",Update
125,",Apke no 9646345471 ki outgoing seva samapt ho chuki hai. Incoming seva jari rakhne k liye 23-Aug se pehle Unlimited ya all-rounder pack se recharge karen.",Update
126,",""#Alert! Outgoing Calls, SMS & Data services for 9646345471 have STOPPED. To restart your services dial *121# & recharge with any Unlimited or All Rounder Pack.",Update
127,",""#Alert! Outgoing Calls, SMS & Data services for 9646345471 have STOPPED. To restart your services dial *121# & recharge with any Unlimited or All Rounder Pack.",Update
128,",Apke no 9646345471 ki outgoing seva samapt ho chuki hai. Incoming seva jari rakhne k liye 23-Aug se pehle Unlimited ya all-rounder pack se recharge karen.",Update
129,",Apke no 9646345471 ki outgoing seva samapt ho chuki hai. Incoming seva jari rakhne k liye 23-Aug se pehle Unlimited ya all-rounder pack se recharge karen.",Update
130,",""#Alert! Outgoing Calls, SMS & Data services for 9646345471 have STOPPED. To restart your services dial *121# & recharge with any Unlimited or All Rounder Pack.",Update
131,",""#Alert! Outgoing Calls, SMS & Data services for 9646345471 have STOPPED. To restart your services dial *121# & recharge with any Unlimited or All Rounder Pack.",Update
132,",Apke no 9646345471 ki outgoing seva samapt ho chuki hai. Incoming seva jari rakhne k liye 23-Aug se pehle Unlimited ya all-rounder pack se recharge karen.",Update
133,",Apke no 9646345471 ki outgoing seva samapt ho chuki hai. Incoming seva jari rakhne k liye 23-Aug se pehle Unlimited ya all-rounder pack se recharge karen.",Update
134,",Apke no 9646345471 ki outgoing seva samapt ho chuki hai. Incoming seva jari rakhne k liye 23-Aug se pehle Unlimited ya all-rounder pack se recharge karen.",Update
135,",""#Alert! Outgoing Calls, SMS & Data services for 9646345471 have STOPPED. To restart your services dial *121# & recharge with any Unlimited or All Rounder Pack.",Update
136,",Apke no 9646345471 ki outgoing seva samapt ho chuki hai. Incoming seva jari rakhne k liye 23-Aug se pehle Unlimited ya all-rounder pack se recharge karen.",Update
137,",""Congratulations! Mobile services have been restored for your number. To know your service validity details, dial *111# or check your MyVodafoneApp",Update
138,",""Congratulations! Mobile services have been restored for your number. To know your service validity details, dial *111# or check your MyVodafoneApp",Update
139,",Alert! Outgoing & Incoming service for 9646345471 have STOPPED. Recharge with any Unlimited or All Rounder Pack to start using your services.For more dial *121#",Update
140,",""Your 9646345471 Expiry is due on 29/08/19. Why wait till expiry, Recharge with All-Rounder Pack & get remaining validity + new Pack validity.Dial *121# for more",Update
141,",""""""Congratulations!! Daily 1GB data + Outgoing and Incoming services are active on your Vodafone number till  """"&TEXT(B3323,""""DD"""")&""""-""""&TEXT(B3323,""""MMM"""")&"""". Click https://bit.ly/30aDRDy to experience now.Recharge Rs 45=Rs 45 FTT+1p/sec,28 Days""""",Update
142,",Apke VF no 9646345471 ki outgoing service 30-Aug ko samapt ho jaegi. Seva jaari rakhne ke liye aj hi kisi bhi Unlimited ya All-rounder pack se recharge karen.",Update
143,",3 days Left! Outgoing & Data Service Validity of 9646345471 expires on 30/08/2019. To continue recharge with any Unlimited or All Rounder Pack.For more dial *121#",Update
144,",""""""Congratulations!! Daily 1GB data + Outgoing and Incoming services are active on your Vodafone number till  """"&TEXT(B677,""""DD"""")&""""-""""&TEXT(B677,""""MMM"""")&"""". Click https://bit.ly/30aDRDy to experience now.Recharge Rs 45=Rs 45 FTT+1p/sec,28 Days""""",Update
145,",""""""Congratulations!! Daily 1GB data + Outgoing and Incoming services are active on your Vodafone number till  """"&TEXT(B23142,""""DD"""")&""""-""""&TEXT(B23142,""""MMM"""")&"""". Click https://bit.ly/30aDRDy to experience now.Recharge Rs 45=Rs 45 FTT+1p/sec,28 Days""""",Update
146,",""Your 9646345471 Expiry is due on 30/08/2019. Why wait till expiry, Recharge with All-Rounder Pack & get remaining validity + new Pack validity.Dial *121# for more.",Update
147,",Apke VF no 9646345471 ki outgoing service 30-Aug ko samapt ho jaegi. Seva jaari rakhne ke liye aj hi kisi bhi Unlimited ya All-rounder pack se recharge karen.",Update
148,",Apke VF no 9646345471 ki outgoing service 30-Aug ko samapt ho jaegi. Seva jaari rakhne ke liye aj hi kisi bhi Unlimited ya All-rounder pack se recharge karen.",Update
149,",#Attention! Outgoing & Data Services for 9646345471 will STOP Today. To continue recharge with any Unlimited or All Rounder Pack. More offers on *121#",Update
150,",""""""Congratulations!! Daily 1GB data + Outgoing and Incoming services are active on your Vodafone number till  """"&TEXT(B79463,""""DD"""")&""""-""""&TEXT(B79463,""""MMM"""")&"""". Click https://bit.ly/30aDRDy to experience now.Recharge Rs 45=Rs 45 FTT+1p/sec,28 Days""""@",Update
151,",Apke VF no 9646345471 ki outgoing service 30-Aug ko samapt ho jaegi. Seva jaari rakhne ke liye aj hi kisi bhi Unlimited ya All-rounder pack se recharge karen.",Update
152,",""#Alert! Outgoing Calls, SMS & Data services for 9646345471 have STOPPED. To restart your services dial *121# & recharge with any Unlimited or All Rounder Pack.",Update
153,",""""""Congratulations!! Daily 1GB data Pack is active on your Vodafone number till """"&TEXT(B71066,""""DD"""")&""""-""""&TEXT(B71066,""""MMM"""")&"""". Click https://bit.ly/30aDRDy to experience now.Recharge RS 45=Rs 45 FTT+1p/sec,28 Days""""",Update
154,",""""""Congratulations!! Daily 1GB data Pack is active on your Vodafone number till """"&TEXT(B71067,""""DD"""")&""""-""""&TEXT(B71067,""""MMM"""")&"""". Click https://bit.ly/30aDRDy to experience now.Recharge RS 45=Rs 45 FTT+1p/sec,28 Days""""",Update
155,",""Recharge done;Congrats! Rs.35 Recharge Successful & your service is valid till """"2019-09-27 """". Har recharge pe inaam! Dial *999# or click bit.ly/VF_ERW in 72 hours to avail reward.",Update
156,",""Congratulations! Mobile services have been restored for your number. To know your service validity details, dial *111# or check your MyVodafoneApp",Update
157,",""Dear Vodafone Customer, abhi dial karein *999# aur payein aapke last recharge pe Extra Unlimited calls/Data/SMS/Cashback jaise offers Har Recharge Pe Inaam.",Update
158,",""""""Congratulations!! Daily 1GB data Pack is active on your Vodafone number till """"&TEXT(B40965,""""DD"""")&""""-""""&TEXT(B40965,""""MMM"""")&"""". Click https://bit.ly/30aDRDy to experience now.Recharge RS 45=Rs 45 FTT+1p/sec,28 Days""""",Update
159,",""""""Congratulations!! Daily 1GB data Pack is active on your Vodafone number till """"&TEXT(B333384,""""DD"""")&""""-""""&TEXT(B333384,""""MMM"""")&"""". Click https://bit.ly/30aDRDy to experience now.Recharge RS 45=Rs 45 FTT+1p/sec,28 Days""""",Update
160,",""Congratulations!! Daily 1GB data Pack is active on your Vodafone number till 12-Sep. Click https://bit.ly/30aDRDy to experience now.Recharge RS 45=Rs 45 FTT+1p/sec,28 Days",Update
161,",""Recharge done;MRP: Rs., Talktime: Rs.0.00, Access Fee:  Rs ,GST 18%. Har recharge pe inaam! Dial *999# or click bit.ly/VF_ERW in 72 hours to avail reward.",Update
162,",""#Alert! Outgoing Calls & Data services for 9646345471 STOP on 27/09/19. To continue, recharge with any Unlimited or All Rounder Pack. For more dial *121#",Update
163,",""#Alert! Outgoing Calls & Data services for 9646345471 STOP on 27/09/19. To continue, recharge with any Unlimited or All Rounder Pack. For more dial *121#",Update
164,",""Alert! Outgoing & Data Service Validity for 9646345471 expires on 27/09/19.To continue,recharge with any Unlimited or All Rounder Pack.Dial *121# for offers",Update
